시설명,위도,경도,시설용도분류,도로명주소,기타,설명,종류
다람쥐공원,37.468235,126.890884,FU_BI,서울특별시 금천구 벚꽃로18길 33,,산책과 휴식을 위한 공간,자연/휴식
푸른골공원,37.466545,126.90324,FU_BI,서울특별시 금천구 독산로68길 28,,산책과 휴식을 위한 공간,자연/휴식
어린이무지개공원,37.462944,126.901024,FU_BI,서울특별시 금천구 시흥대로90길 60-3,,산책과 휴식을 위한 공간,자연/휴식
무궁화공원,37.464386,126.90439,FU_BI,서울특별시 금천구 독산로58가길 9,,산책과 휴식을 위한 공간,자연/휴식
정훈공원,37.465652,126.90634,FU_BI,서울특별시 금천구 독산로58길 61,,산책과 휴식을 위한 공간,자연/휴식
꿈나무공원,37.46355,126.90496,FU_BI,서울특별시 금천구 독산로56길 18-9,,산책과 휴식을 위한 공간,자연/휴식
남문공원,37.47232,126.900345,FU_BI,서울특별시 금천구 시흥대로138길 30,,산책과 휴식을 위한 공간,자연/휴식
목화공원,37.477436,126.90726,FU_BI,서울특별시 금천구 문성로3길 47,,산책과 휴식을 위한 공간,자연/휴식
구룡공원,37.47789,126.90276,FU_BI,서울특별시 금천구 독산로107길 13,,산책과 휴식을 위한 공간,자연/휴식
반수공원,37.47415,126.90234,FU_BI,서울특별시 금천구 독산로93길 18,,산책과 휴식을 위한 공간,자연/휴식
동산공원,37.472828,126.905914,FU_BI,서울특별시 금천구 독산로54길 247,,산책과 휴식을 위한 공간,자연/휴식
쌈지공원,37.470894,126.903984,FU_BI,서울특별시 금천구 독산로76길 48,,산책과 휴식을 위한 공간,자연/휴식
소망공원,37.469467,126.901566,FU_BI,서울특별시 금천구 독산로75길 12-7,,산책과 휴식을 위한 공간,자연/휴식
새재미공원,37.459126,126.90418,FU_BI,서울특별시 금천구 시흥대로68길 103,,산책과 휴식을 위한 공간,자연/휴식
진달래공원,37.43486,126.90489,FU_BI,서울특별시 금천구 시흥대로4길 30,,산책과 휴식을 위한 공간,자연/휴식
